Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z3, 14, 1, 720, 7536.000000, 0.015825, 476208.530806, 476208.000000, 1.000000, 4, 0.000036, 95241.706161, 95241.706161
Z3, 15, 1, 720, 7352.000000, 0.015993, 459701.119240, 459696.000000, 1.000000, 4, 0.000036, 91940.223848, 91940.223848
Z3, 16, 1, 720, 7536.000000, 0.015793, 477173.431267, 477168.000000, 1.000000, 4, 0.000036, 95434.686253, 95434.686253
Z3, 17, 1, 720, 7352.000000, 0.018859, 389840.394507, 389840.000000, 1.000000, 4, 0.000036, 77968.078901, 77968.078901
Z3, 18, 1, 720, 7128.000000, 0.019317, 369001.397733, 369000.000000, 1.000000, 4, 0.000036, 73800.279547, 73800.279547
Z3, 19, 1, 720, 6872.000000, 0.025363, 270945.866025, 270944.000000, 1.000000, 4, 0.000036, 54189.173205, 54189.173205
Z3, 20, 1, 720, 7128.000000, 0.016110, 442458.100559, 442456.000000, 1.000000, 4, 0.000036, 88491.620112, 88491.620112
Z3, 21, 1, 720, 6872.000000, 0.019461, 353116.489389, 353112.000000, 1.000000, 4, 0.000036, 70623.297878, 70623.297878
Z3, 22, 1, 720, 7128.000000, 0.015943, 447092.767986, 447088.000000, 1.000000, 4, 0.000036, 89418.553597, 89418.553597
Z1, 0, 2, 720, 6624.000000, 0.026717, 247932.028297, 247928.000000, 1.341572, 4, 0.658464, 139004.959257, 139004.959257
Z2, 0, 2, 720, 6840.000000, 0.016189, 422509.111125, 422504.000000, 1.341572, 4, 0.658464, 173920.375822, 173920.375822
Z2, 1, 2, 720, 7080.000000, 0.016014, 442113.150993, 442112.000000, 1.341572, 4, 0.658464, 177841.183796, 177841.183796
Z2, 2, 2, 720, 7328.000000, 0.020000, 366400.000000, 366400.000000, 1.341572, 4, 0.658464, 162698.553597, 162698.553597
Z2, 3, 2, 720, 8832.000000, 0.016067, 549698.139043, 549696.000000, 1.341572, 4, 0.658464, 199358.181406, 199358.181406
Z2, 4, 2, 720, 8840.000000, 0.032125, 275175.097276, 275168.000000, 1.341572, 4, 0.658464, 144453.573052, 144453.573052
Z2, 5, 2, 720, 7544.000000, 0.025348, 297617.169007, 297616.000000, 1.341572, 4, 0.658464, 148941.987399, 148941.987399
Z2, 6, 2, 720, 6872.000000, 0.025122, 273545.099912, 273544.000000, 1.341572, 4, 0.658464, 144127.573580, 144127.573580
Z2, 7, 2, 720, 6872.000000, 0.017169, 400256.275846, 400256.000000, 1.341572, 4, 0.658464, 169469.808766, 169469.808766
Z3, 0, 2, 720, 7328.000000, 0.026757, 273872.257727, 273872.000000, 1.341572, 4, 0.658464, 144193.005143, 144193.005143
Z3, 1, 2, 720, 7080.000000, 0.019815, 357305.071915, 357304.000000, 1.341572, 4, 0.658464, 160879.567980, 160879.567980
Z3, 2, 2, 720, 7328.000000, 0.032284, 226985.503655, 226984.000000, 1.341572, 4, 0.658464, 134815.654328, 134815.654328
Z3, 3, 2, 720, 7080.000000, 0.016325, 433690.658499, 433688.000000, 1.341572, 4, 0.658464, 176156.685297, 176156.685297
Z3, 4, 2, 720, 7328.000000, 0.028212, 259747.625124, 259744.000000, 1.341572, 4, 0.658464, 141368.078622, 141368.078622
Z3, 5, 2, 720, 10280.000000, 0.027344, 375950.848449, 375944.000000, 1.341572, 4, 0.658464, 164608.723287, 164608.723287
Z3, 6, 2, 720, 8824.000000, 0.016603, 531470.216226, 531464.000000, 1.341572, 4, 0.658464, 195712.596842, 195712.596842
Z3, 7, 2, 720, 10320.000000, 0.027277, 378340.726619, 378336.000000, 1.341572, 4, 0.658464, 165086.698921, 165086.698921
Z3, 8, 2, 720, 8832.000000, 0.020373, 433514.946252, 433512.000000, 1.341572, 4, 0.658464, 176121.542848, 176121.542848
Z3, 9, 2, 720, 10280.000000, 0.027285, 376763.789628, 376760.000000, 1.341572, 4, 0.658464, 164771.311523, 164771.311523
Z3, 10, 2, 720, 10344.000000, 0.016408, 630424.183325, 630424.000000, 1.341572, 4, 0.658464, 215503.390262, 215503.390262
Z3, 11, 2, 720, 7368.000000, 0.027377, 269131.022391, 269128.000000, 1.341572, 4, 0.658464, 143244.758075, 143244.758075
Z3, 12, 2, 720, 7504.000000, 0.018660, 402143.622722, 402136.000000, 1.341572, 4, 0.658464, 169847.278142, 169847.278142
Z3, 13, 2, 720, 7360.000000, 0.018651, 394616.910621, 394616.000000, 1.341572, 4, 0.658464, 168341.935721, 168341.935721
Z3, 14, 2, 720, 7536.000000, 0.026859, 280576.343125, 280576.000000, 1.341572, 4, 0.658464, 145533.822222, 145533.822222
